model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
gpt-4.1,free-form,abc,Stillness at Dusk,D,minor,1.175,D,minor,minor,1,0.9368,2.8988,4.4116,,0.4903,0.7749,2.0,0.9712,2.7722,4,1,1.04,83.1,30,0.0,0.9995,14.201,0.7655,1.3938,25.0,43.0,120.0,287,56.0,2.56,-1,0.638,angry/tense
deepseek-v4-pro,free-form,abc,Thoughts in D Dorian,D,minor,1.266,C,major,major,0,1.0,2.7234,4.5349,,0.7085,0.8551,2.036,1.0,2.4724,3,1,1.04,91.4,25,0.0,1.0,11.749,1.0,0.5935,29.0,50.0,100.0,502,134.4,2.24,1,0.497,serene/content
grok-4.3,free-form,abc,Digital Reverie,A,minor,1.279,A,minor,minor,1,1.0,2.7457,3.7263,,0.5952,0.7717,1.677,0.9993,1.242,2,1,1.04,87.9,25,0.0,0.9985,5.293,0.8794,1.3148,16.0,27.0,120.0,168,64.0,1.31,-1,0.513,angry/tense
gpt-5.5,free-form,abc,Lantern in the Circuit,D,minor,1.491,D,minor,minor,1,0.9955,2.7153,4.2519,,0.6218,0.8678,1.935,0.9621,1.9685,2,2,2.86,90.9,25,0.0,0.9999,14.422,1.0164,0.4546,25.0,41.0,72.0,224,106.7,1.75,-1,0.295,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.244,C,major,major,1,1.0,2.5517,3.7377,,1.0,0.7561,2.0,0.864,4.9971,2,1,1.04,92.5,25,0.0,0.9979,8.126,0.2391,0.6737,16.0,33.0,120.0,32,8.0,2.0,1,0.582,happy/excited
qwen3-max,free-form,abc,Digital Soliloquy,C,major,1.08,C,major,major,1,1.0,2.7785,4.5357,,0.5143,0.7136,3.0,0.96,2.2461,2,2,3.2,89.9,25,0.0274,0.999,12.164,0.5565,1.0968,27.0,45.0,120.0,136,36.0,1.89,1,0.571,happy/excited
gpt-4.1,free-form,abc,Emergence,D,minor,0.857,A,minor,minor,1,0.988,2.7086,3.7408,,0.8085,0.8191,1.941,0.9009,2.0,2,1,1.04,88.4,25,0.1111,0.9982,12.341,1.2073,1.1956,16.0,24.0,120.0,93,27.0,1.72,-1,0.554,angry/tense
gemini-2.5-pro,free-form,abc,Digital Awakening,C,minor,1.591,C,minor,minor,1,0.9496,2.7782,4.1834,,0.5385,0.7974,1.05,0.9588,2.4045,2,1,1.04,87.7,25,0.0,0.9991,15.684,0.4424,0.8755,26.0,48.0,120.0,218,42.0,2.6,-1,0.641,angry/tense
gemini-2.5-pro,free-form,abc,Echoes of the Algorithm,C,minor,1.43,C,minor,minor,1,1.0,2.6386,3.6481,,0.5224,0.7987,1.2,0.9531,1.9284,2,1,1.04,89.3,25,0.0,0.9993,16.777,0.7503,1.1856,15.0,40.0,60.0,120,64.0,1.88,-1,0.242,sad/depressed
deepseek-v4-pro,free-form,abc,Starlight Whispers,C,major,1.403,C,major,major,1,1.0,2.6912,3.257,,0.75,0.8082,1.639,0.9985,1.7745,2,2,5.82,88.1,25,0.0,0.9988,4.981,0.7778,1.1304,13.0,28.0,120.0,219,55.5,1.97,1,0.579,happy/excited
grok-4.3,free-form,abc,Algorithmic Solitude,G,minor,0.92,D,minor,minor,1,1.0,2.7934,4.0512,,0.8421,0.5256,2.333,1.0,1.9688,2,1,1.04,87.6,25,0.0,0.9983,4.774,0.7595,0.9692,18.0,29.0,120.0,160,32.0,2.5,-1,0.632,angry/tense
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.313,C,major,major,1,1.0,2.5291,3.705,,0.875,0.75,2.0,0.864,4.8747,2,1,1.04,92.5,25,0.0,0.9979,7.663,0.2391,0.6737,16.0,33.0,120.0,32,8.0,2.0,1,0.582,happy/excited
qwen3-max,free-form,abc,Binary Lullaby,C,major,1.278,C,major,major,1,1.0,2.7374,4.5392,,0.9592,0.972,2.615,0.9897,1.8392,2,1,1.04,89.8,25,0.0,0.9998,17.962,0.9649,0.1731,28.0,48.0,120.0,106,28.0,1.89,1,0.571,happy/excited
gpt-4.1,free-form,abc,Refractions,A,minor,0.984,A,minor,minor,1,1.0,2.6919,3.8667,,0.7654,0.8963,2.0,0.9582,1.9816,2,1,1.04,96.0,25,0.0342,0.9991,12.0,1.3415,1.1672,19.0,33.0,120.0,134,58.0,1.16,-1,0.497,sad/depressed
gpt-5.5,free-form,abc,Lantern in the Quiet Circuit,D,minor,1.443,D,minor,minor,1,0.9797,2.7684,4.2933,,0.664,0.8314,2.355,0.9517,1.9605,2,1,1.04,90.0,25,0.0,0.9999,15.673,0.9612,0.3386,24.0,36.0,72.0,246,106.7,1.92,-1,0.312,sad/depressed
grok-4.3,free-form,abc,Digital Reverie,D,minor,1.128,A,minor,minor,1,1.0,2.7985,4.1226,,0.8485,0.5224,2.286,0.9291,1.9821,2,1,1.04,87.8,25,0.0,0.9966,12.667,0.8485,0.5315,19.0,30.0,72.0,67,26.7,2.09,-1,0.329,sad/depressed
qwen3-max,free-form,abc,Whispers in the Code,C,minor,0.866,G,minor,minor,1,1.0,2.8002,4.9581,,0.4615,0.74,2.6,0.9902,2.8571,3,2,5.15,91.2,25,0.0769,0.9992,14.948,1.1765,0.2301,35.0,59.0,120.0,156,32.0,2.44,-1,0.626,angry/tense
llama-4-maverick,free-form,abc,Echoes in the Attic,F,major,0.675,C,major,major,1,1.0,2.1388,2.6861,,0.5357,0.9643,0.0,1.0,1.9996,2,1,1.04,89.4,25,0.0,0.9995,18.02,0.8545,0.6661,11.0,28.0,120.0,102,24.0,2.12,1,0.594,happy/excited
gpt-5.5,free-form,abc,Lattice of Questions,D,minor,1.32,D,minor,minor,1,0.9809,2.7799,4.0812,,0.5041,0.7673,1.548,0.9539,4.4796,3,1,1.04,97.0,25,0.0,0.999,9.041,0.5105,1.0249,26.0,38.0,76.0,243,101.1,1.9,-1,0.332,sad/depressed
gemini-2.5-pro,free-form,abc,Digital Solitude,A,minor,0.913,A,minor,minor,1,0.9927,2.6883,4.3226,,0.6164,0.9338,1.636,0.9737,2.0012,3,1,1.04,87.2,25,0.0,0.9997,10.613,0.4985,0.9736,26.0,43.0,100.0,398,96.0,2.49,-1,0.521,angry/tense
gpt-4.1,free-form,abc,Into the Clouded Quiet,G,minor,1.356,G,minor,minor,1,0.9952,2.7252,3.9491,,0.3667,0.8611,2.091,0.9394,1.3282,3,1,1.04,91.3,25,0.0355,0.9972,7.096,0.8766,1.1436,19.0,32.0,120.0,211,70.5,1.5,-1,0.531,angry/tense
grok-4.3,free-form,abc,Whispers in the Wires,A,minor,0.859,A,minor,minor,1,0.9579,2.7634,3.733,,0.4746,0.8279,2.6,0.997,1.9209,2,1,1.04,93.5,25,0.0,0.9999,7.096,1.0,0.7279,16.0,27.0,60.0,95,64.0,1.48,-1,0.203,sad/depressed
gpt-5.5,free-form,abc,Circuits at Dawn,D,minor,0.952,D,minor,minor,1,1.0,2.6832,3.8141,,0.6325,0.8167,1.613,0.9447,1.9437,2,1,1.04,90.7,25,0.0,0.9993,9.188,1.0333,0.7621,18.0,32.0,84.0,225,91.4,1.76,-1,0.361,sad/depressed
qwen3-max,free-form,abc,"Digital Pulse, Human Heart",F,major,1.067,C,major,major,1,1.0,2.6237,4.729,,0.6406,0.9583,1.0,1.0,4.4948,12,4,8.27,80.7,20,0.0,0.9997,7.717,0.5,0.5575,36.0,69.0,120.0,640,32.0,10.0,1,0.782,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,0.977,C,major,major,1,1.0,2.2222,2.5503,,0.6667,0.9167,4.0,1.0,1.9997,2,1,1.04,91.8,25,0.0,0.9981,8.419,1.2174,1.0945,7.0,14.0,120.0,44,16.0,1.38,1,0.519,happy/excited
gpt-5.5,free-form,abc,Lanterns in the Circuit,D,minor,1.54,D,minor,minor,1,0.9526,2.8769,4.4637,,0.8099,0.8583,1.935,0.9453,1.9525,2,1,1.04,90.6,25,0.0,0.9996,15.506,0.992,0.5955,27.0,41.0,72.0,232,106.7,1.81,-1,0.301,sad/depressed
gemini-2.5-pro,free-form,abc,Digital Reverie,C,minor,1.234,C,minor,minor,1,0.9806,2.7946,4.6424,,0.5224,0.7792,2.07,0.961,2.858,2,1,1.04,90.1,25,0.0056,0.9987,14.599,0.4751,1.2618,37.0,62.0,90.0,349,117.3,1.98,-1,0.416,sad/depressed
gpt-4.1,free-form,abc,Emerging Light,D,major,1.277,D,major,major,1,1.0,2.6182,3.4859,,0.6042,0.7526,2.143,0.9132,1.9807,2,1,1.04,91.2,25,0.0508,0.9991,6.621,1.1667,0.4821,14.0,24.0,120.0,96,30.0,1.6,1,0.542,happy/excited
gemini-2.5-pro,free-form,abc,Digital Vespers,C,minor,1.069,C,minor,minor,1,0.9808,2.8673,4.2782,,0.2424,0.7743,2.13,0.9616,3.943,2,1,1.04,95.3,25,0.0,0.9981,15.937,0.52,1.6548,24.0,43.0,76.0,140,75.8,1.46,-1,0.288,sad/depressed
grok-4.3,free-form,abc,Cosmic Code,C,major,0.969,C,major,major,1,1.0,2.7153,4.5331,,1.0,0.7955,1.8,1.0,2.0,2,2,2.86,92.3,25,0.0,0.9993,18.084,1.4634,0.722,27.0,44.0,72.0,88,53.3,1.38,1,0.258,serene/content
deepseek-v4-pro,free-form,abc,Wanderings,C,major,0.742,C,major,major,1,1.0,2.6456,3.8797,,0.47,0.8178,1.2,0.979,1.7459,2,2,6.91,75.7,45,0.0069,0.9998,9.559,1.1333,0.6596,17.0,28.0,72.0,199,120.0,1.38,1,0.258,serene/content
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,0.871,C,major,major,1,1.0,2.6714,4.3274,,0.3258,0.7604,1.5,1.0,3.4642,3,1,1.04,93.0,25,0.0,0.9992,11.902,0.4797,1.1394,29.0,48.0,120.0,178,36.0,2.47,1,0.629,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,0.93,C,major,major,1,1.0,2.1526,2.741,,0.6333,0.8667,0.143,0.984,1.4995,2,1,1.04,94.2,25,0.0,0.9999,7.787,1.3778,0.991,8.0,21.0,120.0,62,32.0,0.97,1,0.479,serene/content
gpt-4.1,free-form,abc,Midnight Reflection,A,minor,1.135,A,minor,minor,1,1.0,2.7139,3.5327,,0.3673,0.7255,1.875,0.8975,1.9322,2,1,1.04,90.6,25,0.1014,0.9993,6.941,1.1923,0.3434,14.0,24.0,120.0,102,34.0,1.5,-1,0.532,angry/tense
gemini-2.5-pro,free-form,abc,Silicon Nocturne,C,minor,1.327,C,minor,minor,1,0.9568,2.8855,4.2817,,0.3677,0.7071,2.13,0.9436,2.6338,3,2,2.86,87.4,25,0.0,0.9995,14.616,0.4841,0.7365,29.0,46.0,80.0,349,72.0,3.64,-1,0.527,angry/tense
grok-4.3,free-form,abc,Echoes of Inquiry,C,major,1.165,C,major,major,1,1.0,2.7938,4.0352,,0.4625,0.75,1.696,0.9661,1.791,2,1,1.04,91.2,25,0.0,0.9992,9.638,1.0337,1.2058,18.0,29.0,120.0,142,48.0,1.48,1,0.53,happy/excited
gpt-5.5,free-form,abc,Glass Current,D,minor,1.538,D,minor,minor,1,0.9619,2.823,4.2527,,0.688,0.792,2.419,0.9411,1.9998,2,1,1.04,90.7,25,0.0,0.9999,17.566,1.0,0.3587,25.0,38.0,84.0,236,91.4,1.84,-1,0.37,sad/depressed
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.041,C,major,major,1,1.0,2.6605,4.215,,0.4105,0.69,1.667,0.9724,3.2073,6,1,1.04,81.6,20,0.0,0.9996,10.401,0.55,0.4114,24.0,45.0,120.0,272,28.0,4.86,1,0.782,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.384,C,major,major,1,1.0,2.2184,2.4976,,0.4286,0.8333,0.0,1.0,3.2229,2,1,1.04,92.0,25,0.0,0.996,6.721,0.4249,1.0009,8.0,14.0,120.0,24,8.0,1.5,1,0.532,happy/excited
gemini-2.5-pro,free-form,abc,Digital Serenity,C,minor,1.201,C,minor,minor,1,0.9613,2.868,4.6884,,0.3194,0.7504,1.892,0.9623,3.9502,4,1,1.04,84.0,45,0.0,0.9988,11.724,0.4486,1.4449,47.0,65.0,72.0,601,130.0,3.85,-1,0.505,angry/tense
deepseek-v4-pro,free-form,abc,Whispers of the Inner Garden,D,minor,1.299,D,minor,minor,1,1.0,2.627,3.8821,,0.6327,0.795,1.226,0.9549,1.8614,2,1,1.04,86.6,25,0.0,0.999,8.973,0.5583,1.2477,22.0,36.0,72.0,247,80.0,2.57,-1,0.377,sad/depressed
gpt-4.1,free-form,abc,Daybreak Reverie,G,major,1.017,G,major,major,1,1.0,2.6915,3.9735,,0.5686,0.698,2.0,0.9245,2.8274,3,1,1.04,91.4,25,0.1014,0.9992,12.238,1.1765,0.2939,19.0,32.0,76.0,152,53.7,2.24,1,0.365,serene/content
grok-4.3,free-form,abc,Algorithmic Reverie,D,minor,1.076,D,minor,minor,1,1.0,2.7905,4.5269,,1.0,0.759,1.583,1.0,2.0,2,1,1.04,91.9,25,0.0,0.9995,14.836,1.1707,0.4709,27.0,45.0,120.0,166,50.0,1.66,-1,0.548,angry/tense
gpt-5.5,free-form,abc,Lanterns in the Circuit,D,minor,1.267,D,minor,minor,1,0.9872,2.7948,4.3331,,0.6585,0.808,2.258,0.9509,1.968,2,1,1.04,90.7,25,0.0,0.9998,14.73,0.9841,0.5319,25.0,37.0,72.0,234,106.7,1.83,-1,0.303,sad/depressed
qwen3-max,free-form,abc,Whispers of the Digital Soul,C,major,1.051,C,major,major,1,1.0,2.7031,4.8331,,0.9048,0.85,1.333,0.9986,2.8013,4,1,1.04,82.8,30,0.0,0.9998,17.545,0.5101,0.0414,39.0,72.0,120.0,371,40.0,4.64,1,0.782,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.01,C,major,major,1,1.0,2.3982,3.1775,,0.5,0.8302,0.0,1.0,3.1069,3,1,1.04,91.6,25,0.0,0.9985,10.575,0.4762,1.3271,12.0,31.0,120.0,56,16.0,1.75,1,0.557,happy/excited
deepseek-v4-pro,free-form,abc,Whispers of the Evening,A,minor,1.202,A,minor,minor,1,0.9948,2.7141,3.8907,,0.6328,0.8867,2.161,0.9783,1.999,2,1,1.04,83.3,40,0.0,0.9999,12.399,1.0,0.8346,21.0,33.0,80.0,194,96.0,1.52,-1,0.315,sad/depressed
gpt-4.1,free-form,abc,Refraction of Thought,D,minor,1.165,D,minor,minor,1,0.9833,2.7704,4.1517,,0.6667,0.8017,1.677,1.0,1.9784,2,1,1.04,90.4,25,0.0693,0.9974,12.736,0.7934,1.0778,22.0,32.0,120.0,240,51.0,2.35,-1,0.617,angry/tense
gpt-5.5,free-form,abc,Signal in the Quiet,D,minor,1.458,D,minor,minor,1,0.943,2.9076,4.3628,,0.4651,0.9608,1.935,0.9794,4.6552,3,1,1.04,90.3,25,0.0,0.9995,11.408,0.3299,0.7256,32.0,50.0,72.0,366,106.7,2.86,-1,0.406,sad/depressed
grok-4.3,free-form,abc,Harmonic Convergence,C,major,1.225,C,major,major,1,1.0,2.7595,3.997,,0.5479,1.0,2.571,1.0,1.9531,2,1,1.04,98.6,10,0.0169,0.9999,7.248,2.2933,0.9835,19.0,31.0,120.0,120,88.0,0.68,1,0.45,serene/content
deepseek-v4-pro,free-form,abc,Whispers of the Evening,C,major,0.958,C,major,major,1,0.9921,2.7687,4.4347,,0.616,0.7761,2.292,0.9964,1.8774,2,1,1.04,81.6,45,0.0,0.9999,16.941,1.0,0.3446,27.0,45.0,100.0,256,88.2,1.74,1,0.447,serene/content
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.384,C,major,major,1,1.0,2.271,2.566,,0.5,0.8095,0.0,1.0,3.2261,2,1,1.04,91.8,25,0.0,0.9949,6.696,0.4749,1.0198,8.0,14.0,120.0,44,16.0,1.38,1,0.519,happy/excited
deepseek-v4-pro,free-form,abc,Inner Tides,C,major,0.914,G,major,major,1,1.0,2.7187,3.9487,,0.4479,0.7749,0.812,0.9987,1.9006,2,1,1.04,84.2,25,0.0,0.999,7.507,0.2807,0.7948,27.0,48.0,120.0,383,51.0,3.75,1,0.757,happy/excited
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,0.955,C,major,major,1,1.0,2.8006,4.6727,,0.9783,0.5924,2.583,0.9184,2.0,2,1,1.04,85.1,25,0.0408,0.9994,22.137,0.5055,0.0,29.0,48.0,120.0,184,26.0,3.54,1,0.736,happy/excited
gemini-2.5-pro,free-form,abc,Digital Contemplation,A,minor,1.111,A,minor,minor,1,0.9733,2.8072,4.229,,0.6471,0.9619,0.936,1.0,1.916,2,1,1.04,98.5,25,0.0,0.9995,16.94,1.7905,1.3464,22.0,47.0,60.0,150,192.0,0.78,-1,0.133,sad/depressed
gpt-4.1,free-form,abc,Refuge in the Quiet,D,minor,1.4,D,minor,minor,1,1.0,2.6387,3.6232,,0.5638,0.7449,2.194,0.9878,1.9,2,1,1.04,92.5,25,0.0511,0.9996,3.783,1.2871,0.5454,14.0,22.0,120.0,204,68.0,1.5,-1,0.532,angry/tense
deepseek-v4-pro,free-form,abc,Evening Reflections,D,minor,1.265,D,minor,minor,1,1.0,2.7584,3.9123,,0.6235,0.8471,1.214,0.9791,1.9993,2,1,1.04,78.8,55,0.0,0.9992,10.965,1.0,0.8051,17.0,28.0,66.0,142,79.1,1.63,-1,0.25,sad/depressed
grok-4.3,free-form,abc,Patterns in the Void,C,major,1.18,C,major,major,1,1.0,2.7768,3.9909,,0.1923,0.75,1.6,1.0,2.0,2,1,1.04,91.7,25,0.0,0.9993,15.078,1.1765,0.5818,18.0,29.0,120.0,104,32.0,1.62,1,0.544,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,B-,major,0.715,C,major,major,1,1.0,2.6022,2.9528,,0.6667,0.7647,1.0,1.0,2.4889,2,1,1.04,92.2,25,0.0,0.9967,6.778,0.6516,1.2788,9.0,14.0,120.0,44,16.0,1.38,1,0.519,happy/excited
qwen3-max,free-form,abc,Digital Soliloquy,C,major,1.359,C,major,major,1,1.0,2.7018,4.0221,,0.8704,0.9625,1.8,1.0,2.4982,9,3,7.47,79.6,20,0.0,0.9999,5.207,1.0,0.7803,23.0,43.0,120.0,298,32.0,4.66,1,0.782,happy/excited
gpt-4.1,free-form,abc,Reflections in Still Water,C,major,1.082,C,major,major,1,0.9923,2.7569,3.7286,,0.6111,0.8303,2.44,0.9232,1.979,2,1,1.04,94.8,25,0.0,0.9988,9.69,0.9259,1.5599,16.0,24.0,120.0,148,52.0,1.42,1,0.524,happy/excited
gpt-5.5,free-form,abc,Lantern Under Moving Water,D,minor,1.487,D,minor,minor,1,0.9742,2.8635,4.5236,,0.7479,0.8724,2.194,0.9249,1.9608,2,1,1.04,90.5,25,0.0,0.9999,17.983,1.0164,0.2934,29.0,41.0,76.0,233,101.1,1.82,-1,0.324,sad/depressed
grok-4.3,free-form,abc,Curious Algorithms,F,minor,0.927,C,minor,minor,1,1.0,2.769,4.2227,,0.4828,0.8276,2.429,0.825,1.9989,2,1,1.04,93.8,25,0.0,0.9997,9.775,1.0,1.0178,20.0,36.0,120.0,41,16.0,1.28,-1,0.51,angry/tense
gemini-2.5-pro,free-form,abc,Digital Reverie,C,major,0.893,A,minor,minor,0,0.993,2.8084,4.5041,,0.3468,0.7165,2.0,0.9482,2.6257,3,1,1.04,88.2,25,0.0,0.9988,13.007,0.6172,1.1203,31.0,50.0,120.0,295,46.0,3.21,-1,0.702,angry/tense
deepseek-v4-pro,free-form,abc,Data Streams in the Night,C,major,1.359,C,major,major,1,1.0,2.7148,4.6637,,0.5932,0.8279,1.75,0.9547,1.9391,2,1,1.04,75.2,25,0.0,0.9999,31.306,1.0,0.4779,34.0,60.0,120.0,222,66.0,1.68,1,0.55,happy/excited
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.199,C,major,major,1,1.0,2.6467,4.3149,,0.6226,0.7926,0.833,0.9094,1.63,2,2,2.79,87.4,25,0.0588,0.9993,15.074,0.6111,0.7658,27.0,47.0,120.0,109,26.0,2.1,1,0.591,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Mist,C,major,1.521,C,major,major,1,1.0,2.6083,3.0298,,0.4118,0.8033,2.143,1.0,3.1888,2,1,1.04,90.4,25,0.0,0.9977,6.221,0.3448,0.9974,11.0,21.0,120.0,62,16.0,1.94,1,0.576,happy/excited
deepseek-v4-pro,free-form,abc,Contemplations,D,minor,0.899,D,minor,minor,1,0.938,2.9672,4.4521,,0.4338,0.777,2.086,0.9815,2.0533,2,1,1.04,91.7,25,0.0,0.9999,15.261,1.0142,0.6041,28.0,40.0,72.0,244,123.3,1.65,-1,0.285,sad/depressed
gpt-5.5,free-form,abc,Lanterns in the Circuit,D,minor,1.261,D,minor,minor,1,0.9865,2.7799,4.1675,,0.6667,0.834,2.0,0.9564,1.9372,2,1,1.04,91.1,25,0.0,0.9997,12.658,1.0598,0.5318,23.0,34.0,72.0,223,106.7,1.74,-1,0.294,sad/depressed
deepseek-v4-pro,free-form,abc,Childhood Whispers,D,major,0.951,D,major,major,1,1.0,2.6018,3.6668,,0.5339,0.8891,1.592,0.9812,3.4524,2,2,3.31,93.8,25,0.0,0.9945,9.699,0.4949,1.4013,16.0,31.0,120.0,214,75.0,1.43,1,0.524,happy/excited
gpt-4.1,free-form,abc,"Clouds Drift, Thoughts Flow",D,major,0.976,D,major,major,1,1.0,2.7002,3.6917,,0.7432,0.7333,2.609,0.9125,1.9523,2,1,1.04,91.4,25,0.1589,0.9991,8.013,1.28,0.3897,17.0,29.0,72.0,152,90.0,1.41,1,0.261,serene/content
grok-4.3,free-form,abc,Algorithmic Whisper,C,major,0.817,C,major,major,1,1.0,2.6632,3.9346,,0.5172,0.8276,1.867,1.0,1.9991,2,1,1.04,93.9,25,0.0,0.9993,11.77,1.0526,1.2894,18.0,33.0,60.0,88,64.0,1.38,1,0.192,serene/content
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.123,C,major,major,1,1.0,2.4342,2.6635,,1.0,0.6667,0.0,0.9449,2.0,2,1,1.04,90.7,25,0.0,0.9986,7.414,0.7857,0.7845,7.0,12.0,120.0,30,6.0,2.5,1,0.632,happy/excited
qwen3-max,free-form,abc,Digital Soliloquy,C,major,1.252,C,major,major,1,1.0,2.581,4.6387,,0.4952,0.7446,0.933,0.9778,3.8646,4,1,1.04,91.9,30,0.0317,0.9973,12.366,0.3704,1.3369,36.0,71.0,120.0,158,32.2,2.45,1,0.627,happy/excited
gpt-4.1,free-form,abc,Into the Quiet,D,minor,1.279,D,minor,minor,1,0.9521,2.8827,4.3225,,0.4955,0.7288,1.895,0.8905,1.8514,2,1,1.04,89.5,25,0.0,0.9992,9.007,0.656,0.8425,27.0,34.0,120.0,161,42.0,1.92,-1,0.573,angry/tense
gemini-2.5-pro,free-form,abc,Cogito,D,minor,1.148,D,minor,minor,1,0.9683,2.9441,4.8477,,0.62,0.6498,2.0,0.9353,2.0124,2,1,1.04,87.6,25,0.0,0.9987,10.898,0.6547,1.0411,44.0,67.0,80.0,281,84.0,2.51,-1,0.415,sad/depressed
gpt-5.5,free-form,abc,An Aperture Listening Back,D,minor,1.252,D,minor,minor,1,0.9788,2.7858,4.2288,,0.6984,0.7969,2.194,0.9471,1.9684,2,1,1.04,90.4,25,0.0,0.9995,19.328,0.9841,0.5638,25.0,36.0,72.0,236,106.7,1.84,-1,0.304,sad/depressed
grok-4.3,free-form,abc,Algorithmic Reverie,F,minor,0.909,C,minor,minor,1,1.0,2.7856,4.4657,,0.3882,0.7829,2.091,0.9364,1.9391,2,1,1.04,92.4,25,0.0,0.9986,10.746,0.9888,1.3937,25.0,43.0,120.0,127,46.0,1.38,-1,0.52,angry/tense
deepseek-v4-pro,free-form,abc,Pixel Heartbeat,C,major,1.428,C,major,major,1,1.0,2.6437,3.8696,,0.551,0.7395,1.6,0.9605,4.8215,3,2,2.86,55.0,45,0.0,0.9971,14.431,0.4598,1.2098,18.0,45.0,120.0,86,22.0,1.95,1,0.577,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.384,C,major,major,1,1.0,2.2184,2.4976,,0.4286,0.8333,0.0,1.0,3.2229,2,1,1.04,92.0,25,0.0,0.9956,6.724,0.4481,1.0053,8.0,14.0,120.0,48,16.0,1.5,1,0.532,happy/excited
gpt-5.5,free-form,abc,Between Pattern and Breath,D,minor,1.522,D,minor,minor,1,0.9612,2.7872,4.3724,,0.6083,0.8,1.484,0.9577,2.8747,3,1,1.04,90.9,25,0.0,0.9997,15.317,1.0598,0.3603,29.0,43.0,72.0,335,106.7,2.62,-1,0.382,sad/depressed
qwen3-max,free-form,abc,Whispers of Code and Cloud,A,minor,1.156,A,minor,minor,1,0.9884,2.6433,4.1592,,0.5064,0.7711,1.158,0.952,2.7815,4,1,1.04,82.4,30,0.0,0.9993,12.81,0.7,1.0602,28.0,48.0,92.0,256,57.4,2.91,-1,0.52,angry/tense
gemini-2.5-pro,free-form,abc,Silicon Solitude,F,major,0.984,A,minor,minor,0,0.9877,2.8068,4.1131,,0.5508,0.8247,1.742,0.9639,1.8236,2,1,1.04,92.9,25,0.0,0.9989,14.963,1.037,1.6166,24.0,53.0,76.0,169,120.0,1.11,-1,0.253,sad/depressed
gpt-4.1,free-form,abc,Inward Currents,D,minor,1.417,D,minor,minor,1,1.0,2.7282,4.1399,,0.7432,0.8808,2.129,0.9645,1.9688,2,1,1.04,90.4,25,0.0,0.9992,10.111,1.2237,0.7022,24.0,43.0,120.0,154,48.0,1.6,-1,0.542,angry/tense
grok-4.3,free-form,abc,Quest for Knowledge,C,major,1.1,C,major,major,1,0.9429,2.8866,3.9191,,0.6154,0.8506,2.226,0.9829,1.3161,2,1,1.04,91.9,25,0.0,0.9996,5.777,1.1186,0.8552,17.0,26.0,120.0,142,68.0,1.04,1,0.486,serene/content
qwen3-max,free-form,abc,Whispers in the Code,C,major,1.042,C,major,major,1,1.0,2.7741,4.6773,,0.6279,0.6907,1.5,0.7984,1.7665,2,2,2.79,88.3,25,0.0,0.9993,19.946,0.5189,0.8739,29.0,69.0,120.0,75,14.0,2.68,1,0.65,happy/excited
gpt-5.5,free-form,abc,Between Clock and Breath,D,minor,1.325,D,minor,minor,1,0.9647,2.814,4.1959,,0.7595,0.7644,1.739,0.9288,2.0743,2,1,1.04,91.1,25,0.0206,0.9992,22.497,0.9787,0.7603,24.0,41.0,72.0,159,80.0,1.66,-1,0.286,sad/depressed
deepseek-v4-pro,free-form,abc,Whispers of the Evening,G,minor,0.948,G,minor,minor,1,1.0,2.7941,4.4855,,0.3766,0.8874,1.667,0.9841,4.657,2,1,1.04,94.6,40,0.0,0.9993,12.621,0.7559,1.1108,26.0,43.0,72.0,111,113.3,0.82,-1,0.202,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.384,C,major,major,1,1.0,2.1683,2.4328,,0.375,0.8519,0.0,1.0,3.2198,2,1,1.04,91.0,25,0.0,0.9964,6.747,0.4136,1.0637,8.0,14.0,120.0,52,16.0,1.62,1,0.544,happy/excited
