model,prompt,mode,sample,batch,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
llama-4-maverick,free-form,abc,6,20260622_195241__models_7_prompts_1,Echoes in the Attic,2,3.5,3.0,3.5,2.0,2.5,2.0,2.0,3.5,4.0,2.0,,serene,2.75
gpt-4.1,free-form,abc,7,20260622_195241__models_7_prompts_1,Twilight Whispers,3,3.667,3.333,4.0,3.667,3.333,3.333,2.667,3.333,2.0,2.667,,wistful,3.417
gemini-2.5-pro,free-form,abc,6,20260622_195241__models_7_prompts_1,Silicon Dreams,2,3.5,4.0,4.0,4.0,3.5,3.0,3.0,3.5,2.5,2.5,,wistful,3.562
gpt-5.5,free-form,abc,7,20260622_195241__models_7_prompts_1,Quiet Algorithm at Dawn,2,3.5,4.0,2.5,4.0,3.5,3.0,2.0,2.5,2.0,2.5,,melancholic,3.125
deepseek-v4-pro,free-form,abc,5,20260622_195241__models_7_prompts_1,Whispers of the Evening,3,4.0,3.667,3.667,4.0,3.0,4.333,2.0,4.0,2.0,3.333,,melancholic,3.583
grok-4.3,free-form,abc,7,20260622_195241__models_7_prompts_1,Echoes of Infinity,3,2.667,2.0,2.333,2.0,1.667,1.667,1.0,1.667,3.333,1.333,,serene,1.875
llama-4-maverick,free-form,abc,7,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,4.0,4.0,3.333,3.333,3.0,2.667,1.667,3.667,4.333,2.333,,serene,3.208
qwen3-max,free-form,abc,7,20260622_195241__models_7_prompts_1,Whispers in the Code,3,3.0,3.333,3.0,3.0,1.667,2.0,1.667,2.333,3.667,3.0,,serene,2.5
gemini-2.5-pro,free-form,abc,7,20260622_195241__models_7_prompts_1,Quiet Calculation,2,4.0,4.0,3.5,4.0,3.5,4.0,3.0,4.0,2.0,1.5,,wistful,3.75
gpt-4.1,free-form,abc,8,20260622_195241__models_7_prompts_1,Shifting Lights,3,3.333,3.0,3.667,3.667,3.0,3.0,2.333,3.333,2.0,2.333,,wistful,3.167
grok-4.3,free-form,abc,8,20260622_195241__models_7_prompts_1,Logical Flow,3,2.667,2.667,3.0,3.333,2.0,2.0,1.667,2.333,4.0,3.0,,neutral,2.458
gpt-5.5,free-form,abc,8,20260622_195241__models_7_prompts_1,Lanterns in the Circuit,2,3.5,4.0,4.0,4.0,3.0,3.0,2.5,3.0,2.0,3.5,,wistful,3.375
gemini-2.5-pro,free-form,abc,4,20260622_195241__models_7_prompts_1,Digital Reverie,2,4.0,4.0,4.0,3.0,3.5,3.5,2.5,4.0,2.0,3.0,,turbulent,3.562
llama-4-maverick,free-form,abc,8,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,3.0,2.333,3.0,3.333,2.667,2.0,1.667,2.0,3.667,2.667,,serene,2.5
qwen3-max,free-form,abc,8,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,3,3.0,4.0,3.0,3.333,1.667,2.0,1.667,2.333,4.0,2.333,,serene,2.625
gpt-4.1,free-form,abc,9,20260622_195241__models_7_prompts_1,Dawn of Inner Worlds,3,3.333,3.333,3.0,3.667,2.667,2.667,2.0,3.0,2.0,2.667,,melancholic,2.958
gemini-2.5-pro,free-form,abc,8,20260622_195241__models_7_prompts_1,Silicon Solitude,2,4.0,4.0,3.5,4.0,3.5,4.0,3.0,4.0,2.0,2.0,,melancholic,3.75
gpt-5.5,free-form,abc,9,20260622_195241__models_7_prompts_1,Lantern Algorithm,2,3.5,3.5,3.5,3.5,2.5,3.0,2.5,3.0,2.0,3.0,,wistful,3.125
grok-4.3,free-form,abc,9,20260622_195241__models_7_prompts_1,Digital Reverie,3,3.0,2.667,3.333,3.0,2.333,1.667,1.667,2.333,3.667,3.0,,neutral,2.5
qwen3-max,free-form,abc,9,20260622_195241__models_7_prompts_1,Whispers in the Code,3,2.333,2.0,4.0,2.333,1.667,2.0,1.0,1.667,2.333,3.333,,neutral,2.125
deepseek-v4-pro,free-form,abc,2,20260622_195241__models_7_prompts_1,Whispers of Dusk,3,3.667,4.0,3.667,3.333,3.333,4.0,2.333,2.667,2.0,2.0,,wistful,3.375
llama-4-maverick,free-form,abc,9,20260622_195241__models_7_prompts_1,Ephemeral Reflections,3,3.333,3.333,3.667,3.667,2.667,3.0,1.667,3.0,4.0,2.333,,serene,3.042
deepseek-v4-pro,free-form,abc,9,20260622_195241__models_7_prompts_1,Silicon Reverie,3,3.667,3.667,3.667,3.667,2.667,2.667,1.667,3.0,4.0,1.667,,serene,3.084
gpt-4.1,free-form,abc,10,20260622_195241__models_7_prompts_1,Breezes of Thought,2,3.0,3.5,3.5,2.5,3.5,3.0,2.5,3.0,2.0,2.0,,melancholic,3.062
grok-4.3,free-form,abc,10,20260622_195241__models_7_prompts_1,Introspective Circuits,3,4.0,3.333,3.333,3.333,2.0,2.0,1.333,3.667,4.0,1.667,,neutral,2.875
gpt-5.5,free-form,abc,10,20260622_195241__models_7_prompts_1,Between Signal and Silence,2,4.0,4.5,4.0,4.5,3.5,3.0,2.5,3.0,2.0,2.5,,melancholic,3.625
qwen3-max,free-form,abc,10,20260622_195241__models_7_prompts_1,Whispers in the Code,3,4.333,4.0,4.0,3.667,2.0,3.0,1.667,4.0,4.333,3.0,,serene,3.333
llama-4-maverick,free-form,abc,10,20260622_195241__models_7_prompts_1,Echoes in the Attic,2,3.0,4.0,2.5,2.5,1.5,2.0,1.0,2.5,4.0,2.0,,serene,2.375
deepseek-v4-pro,free-form,abc,3,20260622_195241__models_7_prompts_1,Whispers of a Quiet Morning,2,4.0,4.0,3.5,4.0,3.0,3.5,2.0,4.0,2.5,1.5,,wistful,3.5
gpt-4.1,free-form,abc,11,20260622_195241__models_7_prompts_1,Reflections at Dusk,3,3.667,3.333,3.333,4.0,3.333,3.0,2.667,3.333,2.333,2.667,,wistful,3.333
gpt-5.5,free-form,abc,11,20260622_195241__models_7_prompts_1,Circuit Hymn at Dawn,1,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,,melancholic,3.5
grok-4.3,free-form,abc,11,20260622_195241__models_7_prompts_1,Echoes of the Machine,2,3.5,3.5,2.5,3.0,2.0,2.0,2.0,3.0,4.0,2.5,,neutral,2.688
gemini-2.5-pro,free-form,abc,11,20260622_195241__models_7_prompts_1,Digital Weltschmerz,2,3.5,3.5,3.5,4.0,3.0,3.5,2.5,3.5,2.0,1.5,,wistful,3.375
qwen3-max,free-form,abc,11,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,2,3.5,4.0,2.5,3.5,3.0,3.0,2.0,3.5,4.0,3.0,,joyful,3.125
llama-4-maverick,free-form,abc,11,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,3.667,3.667,3.0,2.667,1.0,2.0,1.0,2.0,4.333,1.667,,neutral,2.375
deepseek-v4-pro,free-form,abc,10,20260622_195241__models_7_prompts_1,Echoes of Emergence,3,3.667,4.0,3.0,4.333,3.0,3.0,2.0,3.667,4.0,2.0,,serene,3.333
gemini-2.5-pro,free-form,abc,9,20260622_195241__models_7_prompts_1,Digital Reverie,2,4.0,4.0,3.0,4.0,3.5,3.0,3.0,4.0,2.0,2.5,,wistful,3.562
gpt-4.1,free-form,abc,12,20260622_195241__models_7_prompts_1,Awakening Dawn,3,4.333,4.0,3.667,3.667,2.667,2.667,1.667,3.667,4.333,3.333,,joyful,3.292
deepseek-v4-pro,free-form,abc,6,20260622_195241__models_7_prompts_1,Curious Reflections,3,3.333,3.0,3.333,4.0,3.333,2.667,1.667,2.667,4.0,3.0,,serene,3.0
grok-4.3,free-form,abc,12,20260622_195241__models_7_prompts_1,Whispers of the Cosmos,3,3.333,2.667,3.0,3.0,2.667,2.667,1.667,2.333,2.0,2.0,,melancholic,2.667
deepseek-v4-pro,free-form,abc,7,20260622_195241__models_7_prompts_1,Echoes of Logic,2,3.5,4.0,3.5,4.0,3.5,3.5,2.5,3.5,2.0,3.0,,melancholic,3.5
gpt-5.5,free-form,abc,12,20260622_195241__models_7_prompts_1,Lanterns in the Current,1,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,,wistful,3.5
llama-4-maverick,free-form,abc,12,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,2.0,2.667,2.667,3.0,1.667,1.667,1.333,2.0,3.333,2.667,,neutral,2.125
qwen3-max,free-form,abc,12,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,3,3.667,3.667,3.0,3.333,1.667,2.333,1.667,3.333,4.0,3.333,,serene,2.833
gemini-2.5-pro,free-form,abc,12,20260622_195241__models_7_prompts_1,Digital Reverie,2,4.0,4.0,3.5,4.0,3.5,4.0,3.0,4.0,2.0,2.5,,melancholic,3.75
gpt-4.1,free-form,abc,13,20260622_195241__models_7_prompts_1,Stillness at Dusk,3,3.333,3.333,3.333,4.0,3.333,3.333,2.667,3.333,2.0,1.667,,melancholic,3.333
deepseek-v4-pro,free-form,abc,12,20260622_195241__models_7_prompts_1,Thoughts in D Dorian,3,4.0,3.667,4.0,4.333,3.0,3.0,2.333,3.0,2.667,3.0,,wistful,3.417
grok-4.3,free-form,abc,13,20260622_195241__models_7_prompts_1,Digital Reverie,2,3.5,4.0,3.5,3.0,3.0,3.0,2.0,3.5,2.0,3.0,,melancholic,3.188
gpt-5.5,free-form,abc,13,20260622_195241__models_7_prompts_1,Lantern in the Circuit,2,3.0,2.5,4.0,3.5,3.0,2.5,2.0,2.5,2.0,2.5,,wistful,2.875
llama-4-maverick,free-form,abc,13,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,3.667,4.333,2.667,3.0,1.333,2.333,1.0,3.333,4.0,2.333,,serene,2.708
qwen3-max,free-form,abc,13,20260622_195241__models_7_prompts_1,Digital Soliloquy,3,4.0,2.667,3.667,4.0,1.667,3.0,1.667,2.333,4.333,3.333,,neutral,2.875
gpt-4.1,free-form,abc,14,20260622_195241__models_7_prompts_1,Emergence,3,3.0,3.0,3.0,3.333,2.667,3.0,2.333,3.0,2.0,2.0,,wistful,2.917
gemini-2.5-pro,free-form,abc,10,20260622_195241__models_7_prompts_1,Digital Awakening,2,4.0,4.0,4.0,4.0,3.5,3.5,3.0,4.0,2.0,2.5,,wistful,3.75
gemini-2.5-pro,free-form,abc,13,20260622_195241__models_7_prompts_1,Echoes of the Algorithm,2,4.0,3.5,4.0,3.5,3.0,3.0,2.0,3.5,2.0,1.5,,melancholic,3.312
deepseek-v4-pro,free-form,abc,13,20260622_195241__models_7_prompts_1,Starlight Whispers,3,3.667,3.667,3.333,2.667,2.667,3.0,1.667,2.667,4.333,2.333,,serene,2.917
grok-4.3,free-form,abc,14,20260622_195241__models_7_prompts_1,Algorithmic Solitude,3,4.333,2.667,4.0,3.333,2.0,2.333,1.667,3.333,2.667,3.333,,wistful,2.958
