model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
llama-4-maverick,free-form,codegen,Simple Piano Piece,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.017,1.0,0.0,3.0,4.0,120.0,120,60.0,1.0,-1,0.482,sad/depressed
opus-4.8,free-form,codegen,Quiet Machinery,D,minor,1.142,,,minor,,1.0,2.6918,4.0503,,0.7807,0.9656,2.077,0.9825,2.9815,3,2,4.69,58.5,30,0.0,1.0,13.917,0.5591,1.4548,26.0,48.0,120.0,302,54.0,2.8,-1,0.661,angry/tense
opus-4.8-thinking,free-form,codegen,Quiet Reckoning,D,minor,0.866,,,minor,,0.8951,2.8955,4.7948,,0.6154,0.8736,2.462,0.9077,4.5714,4,3,7.94,57.5,26,0.0,1.0,15.379,0.8125,1.6505,37.0,60.0,120.0,135,28.0,2.41,-1,0.623,angry/tense
deepseek-v4-pro,free-form,codegen,Veiled Horizons,E,minor,0.921,,,minor,,0.9718,2.9003,4.2555,,0.6176,0.7393,2.2,0.9247,1.9559,2,1,1.04,59.7,34,0.0,1.0,11.875,0.6168,1.198,24.0,36.0,120.0,177,34.0,2.6,-1,0.642,angry/tense
sonnet-4.6-thinking,free-form,codegen,Fensterblick,E,minor,1.259,,,minor,,0.8963,3.033,4.8485,,0.5714,0.7922,1.677,0.9149,4.9365,2,1,1.04,82.8,81,0.0,1.0,11.94,1.3778,1.0584,38.0,55.0,120.0,142,64.0,1.11,-1,0.493,sad/depressed
gpt-4.1,free-form,codegen,A Window Into Stillness,D,minor,0.901,,,minor,,0.9759,2.7752,3.84,,0.375,0.7621,2.133,0.9952,3.1875,2,1,1.04,16.3,28,0.0,1.0,12.818,0.7241,1.3223,19.0,36.0,120.0,128,32.0,2.0,-1,0.582,angry/tense
sonnet-4.6,free-form,codegen,Thresholds,D,minor,1.179,,,minor,,0.987,2.8111,4.36,,0.3878,0.7581,3.174,0.9346,4.3125,3,2,4.69,47.0,47,0.0,0.9999,10.148,0.9787,1.6582,27.0,43.0,120.0,167,48.0,1.74,-1,0.556,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of the Morning Light,A,minor,1.449,,,minor,,0.938,2.8601,4.045,,0.5179,0.8671,1.926,0.9757,2.9554,3,2,4.29,74.3,15,0.0,1.0,15.44,1.0,0.835,22.0,45.0,120.0,242,56.0,2.16,-1,0.598,angry/tense
grok-4.3,free-form,codegen,Inner Echoes,E,minor,0.836,,,minor,,1.0,2.2256,3.4548,,0.3,0.871,0.0,1.0,3.3333,2,1,1.04,86.8,36,0.0,1.0,11.467,1.1646,0.9766,12.0,43.0,120.0,104,48.0,1.08,-1,0.49,sad/depressed
qwen3-max,free-form,codegen,Digital Soliloquy,C,minor,1.129,,,minor,,1.0,2.6267,3.4116,,0.4286,0.825,1.143,1.0,2.8438,2,1,1.04,48.2,21,0.0,0.9999,15.49,1.12,1.2516,12.0,36.0,120.0,38,16.0,1.19,-1,0.501,angry/tense
gpt-5.5,free-form,codegen,A Lantern Learns the Rain,A,minor,1.291,,,minor,,0.9693,2.8946,4.8375,,0.2691,0.8259,2.581,0.9615,4.2891,5,4,10.11,59.0,81,0.0,1.0,21.798,0.5,1.195,37.0,58.0,120.0,677,64.0,5.29,-1,0.782,angry/tense
gemini-2.5-pro,free-form,codegen,Ripples on a Still Surface,C,minor,1.632,,,minor,,0.8984,2.9113,4.0581,,0.6292,0.826,1.438,0.9619,1.6256,2,1,1.04,92.4,45,0.0,1.0,10.578,0.251,0.5315,28.0,39.0,120.0,864,96.5,4.48,-1,0.782,angry/tense
sonnet-4.6-thinking,free-form,codegen,Fragments of Thought,D,minor,1.534,,,minor,,0.9558,2.9183,4.5245,,0.6043,0.8168,2.258,0.9423,2.628,2,1,1.04,89.1,81,0.0,0.9999,13.556,0.8435,1.5798,32.0,46.0,120.0,210,64.0,1.64,-1,0.546,angry/tense
llama-4-maverick,free-form,codegen,Simple Piano Melody,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.017,1.0,0.0,3.0,4.0,120.0,120,60.0,1.0,-1,0.482,sad/depressed
opus-4.8,free-form,codegen,Threshold,D,minor,0.966,,,minor,,0.9006,2.8083,4.4842,,0.5806,0.8822,2.105,0.9338,3.85,3,2,4.69,52.9,67,0.0,1.0,12.211,0.8261,1.4546,33.0,50.0,92.0,153,52.2,1.91,-1,0.42,sad/depressed
opus-4.8-thinking,free-form,codegen,Emergent,D,minor,1.088,,,minor,,0.939,2.8845,4.596,,0.9315,0.9765,1.84,0.9802,3.1154,3,2,4.69,53.1,40,0.0,1.0,15.02,0.5172,1.2557,30.0,48.0,58.0,240,80.7,3.08,-1,0.351,sad/depressed
gpt-4.1,free-form,codegen,Night Window,C,major,0.918,,,major,,1.0,2.7287,4.1359,,0.24,0.7778,2.714,0.9251,3.0761,3,2,4.69,75.3,36,0.127,1.0,10.275,1.5,1.1282,20.0,41.0,120.0,61,32.0,0.95,1,0.477,serene/content
grok-4.3,free-form,codegen,Introspective Echoes,A,minor,1.126,,,minor,,1.0,2.4884,2.9969,,0.7667,0.6818,0.0,1.0,2.875,2,1,1.04,90.0,0,0.0,1.0,13.434,1.0588,1.0702,8.0,29.0,120.0,180,64.0,1.41,-1,0.522,angry/tense
sonnet-4.6,free-form,codegen,Liminality,D,minor,1.317,,,minor,,1.0,2.7717,4.6569,,0.2235,0.6657,1.652,0.9618,3.6237,4,3,11.02,51.6,62,0.0103,0.9999,14.457,1.0952,1.2021,33.0,56.0,66.0,276,87.3,2.88,-1,0.375,sad/depressed
gpt-5.5,free-form,codegen,Recursive Lanterns,E,minor,1.404,,,minor,,0.9524,2.9391,4.6129,,0.4304,0.8463,2.194,0.9758,4.2461,5,4,10.83,50.0,42,0.0,1.0,13.549,0.5254,1.2952,39.0,60.0,120.0,661,64.0,5.16,-1,0.782,angry/tense
llama-4-maverick,free-form,codegen,Reflection,F,major,0.743,,,major,,1.0,1.7718,1.7718,,,0.9375,0.467,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.587,1.0,0.0,4.0,9.0,120.0,64,32.0,1.0,1,0.482,serene/content
qwen3-max,free-form,codegen,Digital Soliloquy,C,minor,1.012,,,minor,,1.0,2.7202,3.5472,,1.0,0.7368,2.0,0.7198,1.4375,1,1,1.04,73.7,30,0.0,0.9999,7.486,1.2885,1.2182,14.0,39.0,120.0,27,17.0,0.79,-1,0.461,sad/depressed
opus-4.8,free-form,codegen,Convergence,D,minor,1.447,,,minor,,1.0,2.5787,4.2827,,0.5714,0.9121,2.8,0.9366,5.2841,4,3,6.86,56.1,14,0.0,1.0,12.41,1.1765,1.5773,25.0,48.0,120.0,76,22.0,1.73,-1,0.555,angry/tense
deepseek-v4-pro,free-form,codegen,Serene Reflections,D,major,1.201,,,major,,0.9892,2.7997,4.2002,,0.6121,0.69,1.478,0.9438,3.4375,2,1,1.04,90.0,0,0.0,1.0,11.174,0.8,1.0815,23.0,36.0,120.0,187,48.0,1.95,1,0.577,happy/excited
opus-4.8-thinking,free-form,codegen,Toward the Light,D,minor,1.056,,,minor,,0.788,3.0573,4.1952,,0.6927,0.9022,1.826,0.9496,2.8229,3,2,4.69,59.1,28,0.0,1.0,15.915,0.5,1.2142,27.0,48.0,120.0,283,48.0,2.95,-1,0.677,angry/tense
sonnet-4.6,free-form,codegen,Threshold,C,minor,0.959,,,minor,,0.9542,2.9316,4.5784,,0.4857,0.7478,1.529,0.9069,3.3194,3,2,4.29,82.6,99,0.0,1.0,18.211,1.0149,1.7271,31.0,53.0,120.0,141,36.0,1.96,-1,0.578,angry/tense
gpt-4.1,free-form,codegen,Refractions,F#,minor,1.018,,,minor,,1.0,2.6358,4.034,,0.5217,0.8617,1.765,0.9786,1.9022,2,1,1.04,43.1,40,0.0364,0.9999,10.843,1.1522,1.1258,19.0,36.0,120.0,54,27.5,0.98,-1,0.48,sad/depressed
gpt-5.5,free-form,codegen,Afterimage in the Circuit,E,minor,0.965,,,minor,,0.9812,2.8778,4.9644,,0.3802,0.8311,2.174,0.9674,4.9635,5,4,10.11,76.9,79,0.0,1.0,18.52,0.5,1.2893,40.0,61.0,120.0,535,48.0,5.57,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Whispers of Eternity,C,major,1.017,,,major,,1.0,2.6613,3.7614,,0.5385,0.7,0.6,1.0,3.75,2,2,4.29,90.0,0,0.0,1.0,13.669,1.2157,1.2059,15.0,41.0,120.0,84,32.0,1.31,1,0.513,happy/excited
sonnet-4.6-thinking,free-form,codegen,Vigil at Dawn,E,minor,0.867,,,minor,,0.9747,2.7537,4.4536,,0.4118,0.7422,0.842,0.9341,3.5875,3,2,4.69,77.2,81,0.0,1.0,15.31,0.9048,1.4285,32.0,60.0,120.0,156,40.0,1.95,-1,0.577,angry/tense
gemini-2.5-pro,free-form,codegen,Silicon Soul,C,minor,1.382,,,minor,,0.8595,3.0795,4.7354,,0.8434,0.9649,1.308,0.9685,2.7313,2,1,1.04,95.4,63,0.0182,1.0,10.054,0.5369,0.8501,35.0,55.0,120.0,352,82.0,2.15,-1,0.596,angry/tense
llama-4-maverick,free-form,codegen,Simple Melody,C,major,1.385,,,major,,1.0,2.6507,3.7806,,0.5,0.6667,0.333,0.8379,3.25,2,1,1.04,90.0,0,0.0,1.0,8.903,1.0,0.9386,15.0,33.0,120.0,21,14.0,0.75,1,0.457,serene/content
qwen3-max,free-form,codegen,Digital Soliloquy,C,major,1.162,,,major,,1.0,2.7692,3.7335,,1.0,1.0,2.857,0.7792,2.2308,1,1,1.04,74.2,54,0.0,1.0,6.194,1.5556,1.1038,15.0,24.0,120.0,19,16.0,0.59,1,0.441,serene/content
opus-4.8,free-form,codegen,Threshold,D,minor,1.014,,,minor,,0.9582,2.894,4.7643,,0.6759,0.96,1.842,0.9561,5.525,4,3,7.94,48.8,35,0.0,1.0,11.103,0.7103,1.3262,36.0,52.0,120.0,209,40.0,2.61,-1,0.643,angry/tense
opus-4.8-thinking,free-form,codegen,Quiet Center,D,minor,1.094,,,minor,,0.9687,2.7867,4.4336,,0.875,0.9703,2.174,0.9773,3.8542,4,3,7.94,43.1,35,0.0,1.0,9.895,0.5,1.3377,28.0,41.0,68.0,335,84.7,3.49,-1,0.447,sad/depressed
deepseek-v4-pro,free-form,codegen,Longing and Hope,A,minor,1.103,,,minor,,0.9433,2.9705,4.6421,,0.7714,0.883,2.261,0.9485,1.9896,2,1,1.04,81.5,63,0.0,1.0,14.325,0.6525,1.0573,32.0,44.0,120.0,247,48.0,2.57,-1,0.639,angry/tense
gemini-2.5-pro,free-form,codegen,Emergence,A,minor,0.781,,,minor,,1.0,2.0978,2.9962,,0.7628,0.9641,0.889,0.9897,2.5859,2,1,1.04,83.0,63,0.0,1.0,9.153,0.6742,0.5447,21.0,38.0,120.0,435,128.0,1.7,-1,0.552,angry/tense
gpt-4.1,free-form,codegen,Light Through Branches,D,major,1.025,,,major,,1.0,2.7008,4.2606,,0.7292,0.9615,1.875,0.9133,2.1603,2,1,1.04,78.8,18,0.0,1.0,13.329,1.0159,1.5876,22.0,43.0,120.0,67,34.0,0.99,1,0.48,serene/content
gpt-5.5,free-form,codegen,Recursive Dawn,E,minor,0.869,,,minor,,0.975,2.8994,4.7752,,0.1847,0.8307,2.452,0.9679,4.7617,5,4,10.8,69.0,80,0.0,1.0,13.379,0.5611,1.5663,31.0,48.0,78.0,637,98.5,4.98,-1,0.553,angry/tense
grok-4.3,free-form,codegen,Echoes of Solitude,A,minor,1.071,,,minor,,1.0,2.4371,3.0761,,0.7273,0.92,1.467,1.0,2.375,2,1,1.04,90.0,0,0.0,1.0,8.013,1.4419,1.2321,10.0,21.0,120.0,64,32.0,1.0,-1,0.482,sad/depressed
deepseek-v4-pro,free-form,codegen,Whispers of the Lake,E,minor,0.962,,,minor,,0.9966,2.7489,4.4162,,0.5319,0.904,2.111,0.9757,4.4167,3,2,4.29,90.0,0,0.0,1.0,14.707,0.7746,1.4982,25.0,43.0,120.0,250,57.0,2.19,-1,0.601,angry/tense
sonnet-4.6,free-form,codegen,Four Held Breaths,E,minor,1.191,,,minor,,0.9026,3.1338,4.8891,,0.3402,0.7865,2.478,0.9451,3.7448,4,3,11.02,49.6,84,0.0,1.0,12.312,0.9485,1.531,38.0,46.0,120.0,267,48.0,2.78,-1,0.66,angry/tense
qwen3-max,free-form,codegen,Digital Soliloquy,A,minor,1.085,,,minor,,0.9811,2.8087,4.2159,,1.0,0.8148,1.778,0.7698,1.9245,1,1,1.04,55.1,26,0.0179,0.9999,8.577,1.5143,1.2806,22.0,34.0,120.0,37,27.5,0.67,-1,0.449,sad/depressed
llama-4-maverick,free-form,codegen,Reflection,C,major,1.464,,,major,,1.0,1.5766,2.8543,,1.0,1.0,0.0,1.0,5.0,2,1,1.04,90.0,0,0.0,1.0,13.88,2.0,0.1739,8.0,36.0,120.0,14,8.0,0.88,1,0.469,serene/content
opus-4.8,free-form,codegen,Toward Coherence,A,minor,1.154,,,minor,,1.0,2.7122,4.0665,,0.5833,0.8679,2.462,0.9267,4.2321,4,3,7.55,51.0,43,0.0,1.0,10.0,0.9811,1.3987,23.0,48.0,120.0,100,28.0,1.79,-1,0.56,angry/tense
opus-4.8-thinking,free-form,codegen,Quiet Light,D,minor,1.281,,,minor,,0.9518,2.8766,4.3559,,0.635,0.9511,2.065,0.9886,2.8047,4,3,7.94,71.9,45,0.0,1.0,14.257,0.5455,1.4201,28.0,51.0,80.0,378,96.0,2.95,-1,0.459,sad/depressed
sonnet-4.6,free-form,codegen,At the Threshold,E,minor,1.009,,,minor,,0.9803,2.6861,4.1731,,0.5786,0.8,1.111,0.932,3.0893,2,1,1.04,48.7,32,0.0,0.9999,15.789,0.7692,1.4245,28.0,51.0,120.0,218,56.0,1.95,-1,0.576,angry/tense
sonnet-4.6-thinking,free-form,codegen,Réflexion Nocturne,D,minor,1.378,,,minor,,0.9745,2.8286,4.2217,,0.7442,0.885,2.226,0.9724,2.6667,2,1,1.04,40.7,45,0.0,1.0,13.917,1.1059,1.1033,23.0,36.0,120.0,125,48.0,1.3,-1,0.512,angry/tense
gpt-5.5,free-form,codegen,Recursive Lanterns,E,minor,1.332,,,minor,,0.9571,2.9092,4.8553,,0.4046,0.8802,2.571,0.9838,6.0417,8,7,21.45,66.2,60,0.0,1.0,10.594,0.5675,1.5402,40.0,57.0,120.0,1068,72.0,7.42,-1,0.782,angry/tense
gpt-4.1,free-form,codegen,Pulse of Quiet Longing,C,major,1.203,,,major,,1.0,2.6955,3.9513,,0.8304,0.9344,2.667,0.985,2.3828,4,3,6.86,55.9,51,0.0,1.0,8.338,0.5,1.2081,21.0,36.0,120.0,201,32.0,3.14,1,0.696,happy/excited
deepseek-v4-pro,free-form,codegen,Echoes of Tomorrow,D,minor,1.223,,,minor,,0.9554,2.8483,4.3521,,0.6731,0.884,1.826,0.9848,4.6979,5,4,12.06,90.0,0,0.0,1.0,7.413,0.8932,1.2198,28.0,43.0,120.0,190,48.0,1.98,-1,0.58,angry/tense
grok-4.3,free-form,codegen,Inner Echoes,A,minor,1.073,,,minor,,1.0,2.4131,3.0958,,0.8125,1.0,3.079,1.0,1.8182,2,1,1.04,52.3,25,0.4331,1.0,6.207,4.0,0.6178,9.0,32.0,120.0,72,128.0,0.28,-1,0.41,sad/depressed
qwen3-max,free-form,codegen,Digital Soliloquy,C,minor,0.883,,,minor,,1.0,2.6628,4.1484,,0.7576,0.9072,1.571,0.8214,2.8906,2,1,1.04,73.8,45,0.0,0.9999,9.612,0.9333,1.3748,22.0,36.0,120.0,41,16.0,1.28,-1,0.51,angry/tense
llama-4-maverick,free-form,codegen,Reflection,F,major,0.672,,,major,,1.0,0.3998,1.5975,,1.0,1.0,0.0,1.0,2.0,2,1,1.04,90.0,0,0.0,1.0,24.0,1.0,0.0,8.0,36.0,120.0,64,16.0,2.0,1,0.582,happy/excited
deepseek-v4-pro,free-form,codegen,Whispers of the Evening,E,minor,1.119,,,minor,,0.9945,2.6909,4.4699,,0.5732,0.8904,1.742,0.9551,1.3522,2,1,1.04,80.4,54,0.0,1.0,13.556,2.5379,1.2188,31.0,50.0,120.0,181,186.0,0.49,-1,0.43,sad/depressed
opus-4.8,free-form,codegen,Threshold,D,minor,1.514,,,minor,,0.9211,2.8954,4.8043,,0.4429,0.9187,1.76,0.9706,5.0625,4,3,4.45,45.9,43,0.0,1.0,13.96,0.7464,1.5347,41.0,57.0,120.0,253,52.0,2.43,-1,0.625,angry/tense
opus-4.8-thinking,free-form,codegen,Quiet Searching,D,minor,1.248,,,minor,,0.9476,2.7979,4.6789,,0.5422,0.9123,1.478,0.9638,4.75,4,3,7.94,47.6,27,0.0,1.0,15.952,0.8659,1.4631,33.0,50.0,120.0,178,36.0,2.47,-1,0.629,angry/tense
gemini-2.5-pro,free-form,codegen,Process and Emergence,C,minor,1.136,,,minor,,0.8702,2.8792,4.5843,,0.75,0.9227,0.854,0.973,2.4167,4,3,11.02,81.5,81,0.0,1.0,13.701,0.7558,1.6259,32.0,49.0,120.0,416,88.0,2.36,-1,0.618,angry/tense
sonnet-4.6,free-form,codegen,Thresholds,A,major,1.246,,,major,,0.9879,2.7215,4.361,,0.2211,0.7507,1.467,0.9314,3.6375,4,3,6.86,39.4,29,0.0,0.9999,14.97,1.0694,2.1554,26.0,57.0,120.0,175,40.0,2.19,1,0.601,happy/excited
gemini-2.5-pro,free-form,codegen,Liminal Space,C,minor,0.874,,,minor,,0.8727,2.856,4.4822,,0.5385,0.9116,1.913,0.9601,3.5532,2,1,1.04,77.4,81,0.0103,1.0,12.055,1.8776,1.0195,30.0,47.0,88.0,64,65.5,0.67,-1,0.274,sad/depressed
gpt-5.5,free-form,codegen,Between Clock and Cloud,E,minor,1.292,,,minor,,0.9586,2.9059,5.0322,,0.2452,0.7745,2.435,0.947,5.1958,5,4,9.72,60.0,96,0.0,1.0,13.448,0.5583,1.7149,42.0,63.0,120.0,518,60.0,4.32,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Echoes of the Digital Soul,A,minor,1.165,,,minor,,1.0,2.3113,3.25,,0.875,1.0,1.933,1.0,2.0,2,1,1.04,75.0,20,0.0,1.0,18.118,1.0,0.0,10.0,27.0,120.0,128,32.0,2.0,-1,0.582,angry/tense
gpt-4.1,free-form,codegen,Waves of Thought,D,minor,0.996,,,minor,,1.0,2.6232,3.8184,,0.5541,0.8102,1.714,0.9893,2.1067,2,1,1.04,78.5,54,0.0,0.9998,8.419,0.7892,1.8392,15.0,31.0,120.0,122,42.0,1.45,-1,0.527,angry/tense
sonnet-4.6-thinking,free-form,codegen,Emergence,E,minor,1.152,,,minor,,0.9457,2.8595,4.5693,,0.6136,0.8176,1.13,0.9267,3.6458,2,1,1.04,63.8,54,0.0,0.9999,11.224,1.0698,1.3993,34.0,45.0,120.0,120,48.0,1.25,-1,0.507,angry/tense
llama-4-maverick,free-form,codegen,Ethereal Reflections,G,major,0.786,,,major,,1.0,2.2464,3.9219,,1.0,0.9,1.0,1.0,4.0,2,1,1.04,90.0,0,0.0,1.0,14.789,1.2,0.2289,16.0,41.0,120.0,12,16.0,0.38,1,0.419,serene/content
qwen3-max,free-form,codegen,Digital Soliloquy,A,minor,1.098,,,minor,,0.9111,2.7438,3.3731,,0.8571,0.7333,0.286,0.9238,2.125,1,1,1.04,84.1,36,0.0,0.9999,4.636,1.0,0.9404,12.0,24.0,120.0,29,16.0,0.91,-1,0.472,sad/depressed
opus-4.8,free-form,codegen,Quiet Light Through Glass,A,minor,0.915,,,minor,,0.9732,2.8233,3.8279,,0.7286,0.9043,1.625,0.9728,2.7647,3,2,4.69,49.4,16,0.0,1.0,7.439,0.9275,1.0246,17.0,36.0,120.0,146,34.0,2.15,-1,0.597,angry/tense
opus-4.8-thinking,free-form,codegen,Toward Morning,D,minor,1.357,,,minor,,0.9041,3.0411,4.8494,,0.8716,0.9702,1.938,0.9805,4.6856,4,3,7.94,63.7,18,0.0,1.0,10.463,0.5,1.3883,45.0,60.0,78.0,462,101.5,3.5,-1,0.503,angry/tense
sonnet-4.6,free-form,codegen,Candle in a Large Room,D,minor,0.968,,,minor,,0.9957,2.7104,4.3569,,0.6047,0.8404,1.52,0.9471,3.1068,2,1,1.04,49.4,83,0.0,0.9999,12.687,0.7692,1.4725,27.0,43.0,120.0,189,52.0,1.82,-1,0.564,angry/tense
sonnet-4.6-thinking,free-form,codegen,Nocturne in E minor,E,minor,1.095,,,minor,,0.9921,2.695,4.2124,,0.6712,0.8725,2.087,0.9574,1.9583,2,1,1.04,79.8,81,0.0,1.0,16.144,0.92,1.0105,21.0,36.0,120.0,126,36.0,1.75,-1,0.557,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of Dorian Fields,D,minor,0.939,,,minor,,1.0,2.7747,3.5484,,0.3828,0.8746,2.6,0.9771,2.6172,3,2,4.29,66.3,28,0.0,1.0,8.064,0.5,1.0932,15.0,41.0,120.0,172,32.0,2.69,-1,0.651,angry/tense
gpt-5.5,free-form,codegen,Between Tokens and Breath,E,minor,1.217,,,minor,,0.9739,2.841,4.9361,,0.1176,0.7658,2.632,0.9589,6.425,5,4,11.66,67.0,96,0.0,1.0,11.155,0.5,1.4626,39.0,60.0,120.0,386,40.0,4.83,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Echoes of the Algorithm,E,major,0.775,,,major,,0.9375,1.9212,2.4056,,0.9,0.9167,0.087,1.0,1.6667,2,2,4.29,76.5,54,0.0,1.0,6.047,0.8559,0.8087,7.0,17.0,120.0,128,48.0,1.33,1,0.515,happy/excited
qwen3-max,free-form,codegen,Digital Soliloquy,A,minor,1.169,,,minor,,1.0,2.5264,4.0136,,0.4783,0.8095,0.143,0.8767,3.75,2,1,1.04,79.8,40,0.0,0.9999,9.459,1.2174,1.2077,21.0,38.0,120.0,36,16.0,1.12,-1,0.494,sad/depressed
llama-4-maverick,free-form,codegen,Reflection,C,major,1.195,,,major,,1.0,1.6221,3.1054,,1.0,0.9917,0.069,1.0,2.0,2,1,1.04,90.0,0,0.0,1.0,23.95,1.0,0.0,12.0,36.0,120.0,240,60.0,2.0,1,0.582,happy/excited
gpt-4.1,free-form,codegen,Window to Dawn,E,minor,1.197,,,minor,,0.931,2.6177,4.0632,,0.4928,0.8586,1.765,0.9475,2.5764,2,1,1.04,63.0,44,0.0,1.0,14.791,1.029,1.3923,24.0,48.0,120.0,96,36.0,1.33,-1,0.515,angry/tense
opus-4.8,free-form,codegen,Brief Coherence,E,minor,1.386,,,minor,,1.0,2.6922,4.4308,,0.6818,0.9128,1.733,0.9084,3.4297,3,2,4.29,54.3,59,0.0,1.0,15.897,1.3953,1.414,29.0,53.0,120.0,84,32.0,1.31,-1,0.513,angry/tense
opus-4.8-thinking,free-form,codegen,Toward the Light,D,minor,0.843,,,minor,,0.81,3.0321,4.8226,,0.8106,0.9817,2.444,0.9717,4.1429,4,3,7.94,50.7,45,0.0,1.0,18.273,0.8244,1.5802,40.0,62.0,120.0,261,56.0,2.33,-1,0.615,angry/tense
sonnet-4.6-thinking,free-form,codegen,Luminous Ordinary,E,minor,1.12,,,minor,,1.0,2.6933,4.3301,,0.5823,0.8962,2.519,0.953,2.7143,2,1,1.04,68.8,54,0.0,1.0,16.344,1.0253,1.6919,27.0,46.0,120.0,108,42.0,1.29,-1,0.51,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of A Minor,A,minor,1.152,,,minor,,0.9661,2.7548,4.1242,,0.6346,0.9412,1.826,0.9467,3.875,2,1,1.04,65.4,12,0.0,1.0,8.256,1.8039,1.2382,22.0,34.0,120.0,76,48.0,0.79,-1,0.461,sad/depressed
sonnet-4.6-thinking,free-form,codegen,Luminance,E,minor,1.06,,,minor,,0.9775,2.8022,4.5496,,0.6125,0.7214,1.44,0.9385,3.9615,2,1,1.04,73.8,81,0.0,1.0,12.244,1.25,1.0682,34.0,52.0,120.0,126,52.0,1.21,-1,0.503,angry/tense
sonnet-4.6,free-form,codegen,Liminal,D,minor,1.341,,,minor,,0.9401,2.8194,4.6402,,0.6571,0.887,1.882,0.9383,4.3841,3,2,2.28,61.8,106,0.0,0.9999,13.036,0.9577,1.6939,31.0,48.0,120.0,121,36.0,1.68,-1,0.55,angry/tense
gpt-4.1,free-form,codegen,Reflections through Stillness,A,minor,0.717,,,minor,,1.0,2.411,3.1579,,,1.0,2.5,0.9069,1.0,1,1,1.04,16.0,0,0.2286,1.0,7.615,1.2692,0.6923,11.0,19.0,56.0,27,38.6,0.75,-1,0.108,sad/depressed
grok-4.3,free-form,codegen,Whispers of Solitude,A,minor,1.341,,,minor,,1.0,1.9417,2.9835,,0.7656,0.9405,0.067,0.994,3.9375,2,1,1.04,90.0,0,0.0,1.0,8.955,0.9841,0.8749,10.0,43.0,120.0,80,32.0,1.25,-1,0.507,angry/tense
gpt-5.5,free-form,codegen,Luminous Recursion,E,minor,1.339,,,minor,,0.9588,2.8768,4.8926,,0.7349,0.9397,2.452,0.9761,4.125,5,4,10.11,67.8,88,0.0,1.0,14.994,0.5,1.3427,41.0,67.0,120.0,623,64.0,4.87,-1,0.782,angry/tense
qwen3-max,free-form,codegen,Binary Sunset,E,minor,1.26,,,minor,,1.0,2.719,3.9362,,0.6154,0.8,2.0,0.8477,1.875,2,1,1.04,63.3,34,0.0,0.9999,20.439,0.8286,1.4112,17.0,39.0,120.0,42,12.0,1.75,-1,0.557,angry/tense
sonnet-4.6-thinking,free-form,codegen,Refraction,D,minor,0.874,,,minor,,0.9774,2.8525,4.3079,,0.5231,0.8343,1.789,0.9301,2.6625,2,1,1.04,70.8,77,0.0,1.0,15.515,1.1343,1.3525,25.0,41.0,120.0,105,40.0,1.31,-1,0.513,angry/tense
llama-4-maverick,free-form,codegen,Ethereal Reflections,C,major,1.372,,,major,,1.0,2.5366,2.6987,,1.0,0.8824,1.6,1.0,2.0,1,1,1.04,90.0,0,0.0,0.9999,3.836,1.3953,0.8785,8.0,14.0,120.0,44,32.0,0.69,1,0.451,serene/content
opus-4.8-thinking,free-form,codegen,Where the Light Gets In,D,minor,1.317,,,minor,,0.9171,2.9035,4.3513,,0.6667,0.9467,2.5,0.9736,5.0208,4,3,7.94,51.9,39,0.0,1.0,8.597,0.3571,1.5192,29.0,43.0,120.0,350,42.0,4.17,-1,0.782,angry/tense
opus-4.8,free-form,codegen,Quiet Light Through a Window,A,minor,0.915,,,minor,,1.0,2.683,4.5627,,0.5867,0.9022,2.095,0.9664,4.2955,5,4,10.11,49.1,16,0.0,1.0,14.284,1.1351,1.7237,29.0,60.0,120.0,187,44.0,2.12,-1,0.594,angry/tense
sonnet-4.6,free-form,codegen,Thresholds,E,minor,0.636,,,minor,,0.8076,3.1348,4.8416,,0.6577,0.7877,1.161,0.9207,2.5259,2,1,1.04,68.7,92,0.0075,0.9999,18.869,0.7574,1.4693,42.0,55.0,120.0,255,66.0,1.93,-1,0.575,angry/tense
gpt-4.1,free-form,codegen,Between Light and Memory,E,major,1.26,,,major,,0.8906,3.0072,4.4917,,0.12,0.7063,2.4,0.7951,5.0208,3,3,7.78,51.4,15,0.0,1.0,11.921,0.9167,1.3507,26.0,46.0,120.0,45,12.0,1.88,1,0.569,happy/excited
